Time, CONVEYOR2_PROXIMITY_SENSOR2,CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:05:56.950, false,false,
2018-08-24 14:05:57.049, false,false,
2018-08-24 14:05:57.148, false,false,
2018-08-24 14:05:57.248, false,false,
2018-08-24 14:05:57.348, false,false,
2018-08-24 14:05:57.447, false,false,
2018-08-24 14:05:57.547, false,false,
2018-08-24 14:05:57.646, false,false,
2018-08-24 14:05:57.746, false,false,
2018-08-24 14:05:57.845, false,false,
2018-08-24 14:05:57.945, false,false,
2018-08-24 14:05:58.045, false,false,
2018-08-24 14:05:58.144, false,false,
2018-08-24 14:05:58.244, false,false,
2018-08-24 14:05:58.344, false,false,
2018-08-24 14:05:58.443, false,false,
2018-08-24 14:05:58.542, false,false,
2018-08-24 14:05:58.642, false,false,
2018-08-24 14:05:58.741, false,false,
2018-08-24 14:05:58.840, false,false,
2018-08-24 14:05:58.940, false,false,
2018-08-24 14:05:59.039, false,false,
2018-08-24 14:05:59.138, false,false,
2018-08-24 14:05:59.238, false,false,
2018-08-24 14:05:59.337, false,false,
2018-08-24 14:05:59.436, false,false,
2018-08-24 14:05:59.536, false,false,
2018-08-24 14:05:59.635, false,false,
2018-08-24 14:05:59.735, false,false,
2018-08-24 14:05:59.834, false,false,
2018-08-24 14:05:59.934, false,false,
2018-08-24 14:06:00.033, false,false,
2018-08-24 14:06:00.132, false,false,
2018-08-24 14:06:00.232, false,false,
2018-08-24 14:06:00.331, false,false,
2018-08-24 14:06:00.431, false,false,
2018-08-24 14:06:00.530, false,false,
2018-08-24 14:06:00.629, false,false,
2018-08-24 14:06:00.729, false,false,
2018-08-24 14:06:00.828, false,false,
2018-08-24 14:06:00.927, false,false,
2018-08-24 14:06:01.027, false,false,
2018-08-24 14:06:01.126, false,false,
2018-08-24 14:06:01.225, false,false,
2018-08-24 14:06:01.324, false,false,
2018-08-24 14:06:01.423, false,false,
2018-08-24 14:06:01.523, false,false,
2018-08-24 14:06:01.622, false,false,
2018-08-24 14:06:01.721, false,false,
2018-08-24 14:06:01.820, false,false,
2018-08-24 14:06:01.919, false,false,
2018-08-24 14:06:02.019, false,false,
2018-08-24 14:06:02.118, false,false,
2018-08-24 14:06:02.217, false,false,
2018-08-24 14:06:02.316, false,false,
2018-08-24 14:06:02.416, false,false,
2018-08-24 14:06:02.515, false,false,
2018-08-24 14:06:02.615, false,false,
2018-08-24 14:06:02.714, false,false,
2018-08-24 14:06:02.814, false,false,
2018-08-24 14:06:02.913, false,false,
2018-08-24 14:06:03.013, false,false,
2018-08-24 14:06:03.112, false,false,
2018-08-24 14:06:03.211, false,false,
2018-08-24 14:06:03.311, false,false,
2018-08-24 14:06:03.410, false,false,
2018-08-24 14:06:03.509, false,false,
2018-08-24 14:06:03.608, false,false,
2018-08-24 14:06:03.708, false,false,
2018-08-24 14:06:03.807, false,false,
2018-08-24 14:06:03.906, false,false,
2018-08-24 14:06:04.006, false,false,
2018-08-24 14:06:04.105, false,false,
2018-08-24 14:06:04.204, false,false,
2018-08-24 14:06:04.303, false,false,
2018-08-24 14:06:04.403, false,false,
2018-08-24 14:06:04.502, false,false,
2018-08-24 14:06:04.601, false,false,
2018-08-24 14:06:04.701, false,false,
2018-08-24 14:06:04.800, false,false,
2018-08-24 14:06:04.900, false,false,
2018-08-24 14:06:04.999, false,false,
2018-08-24 14:06:05.099, false,false,
2018-08-24 14:06:05.198, false,false,
2018-08-24 14:06:05.297, false,false,
2018-08-24 14:06:05.396, false,false,
2018-08-24 14:06:05.495, false,false,
2018-08-24 14:06:05.597, false,false,
2018-08-24 14:06:05.697, false,false,
2018-08-24 14:06:05.796, false,false,
2018-08-24 14:06:05.895, false,false,
2018-08-24 14:06:05.994, false,false,
